Alloy,Processing condition,Testing condition,Property,Value,Unit
Al-Mo(Al8Mo3),-,<1818, Mixing Enthalpy,-4.05,kJ/mol
Al-Mo(AlMo),-,1743-1993, Mixing Enthalpy,-5.1,kJ/mol
Al-Mo(AlMo3),-,<2423, Mixing Enthalpy,-3.83,kJ/mol
Al-Nb(Al3Nb),-,<1873, Mixing Enthalpy,-13.76,kJ/mol
Al-Nb(AlNb2),-,<2213, Mixing Enthalpy,-16.09,kJ/mol
Al-Nb(AlNb3),-,<2333, Mixing Enthalpy,-13.54,kJ/mol
Al-Ta(Al3Ta),-,<1824, Mixing Enthalpy,-14.51,kJ/mol
Al-Ta(Al2Ta3),-,<1867, Mixing Enthalpy,-19.2,kJ/mol
Al-Ta(AlTa),-,<2043, Mixing Enthalpy,-18.37,kJ/mol
Al-Ta(AlTa2),-,<2373, Mixing Enthalpy,-17.16,kJ/mol
Al-Ti(Al3Ti),-,<1623, Mixing Enthalpy,-22.11,kJ/mol
Al-Ti(Al2Ti),-,<1513, Mixing Enthalpy,-26.2,kJ/mol
Al-Ti(AlTi),-,<1753, Mixing Enthalpy,-29.5,kJ/mol
Al-Ti(AlTi3),-,<1453, Mixing Enthalpy,-22.18,kJ/mol
Al-Zr(Al3Zr),-,<1853, Mixing Enthalpy,-34.04,kJ/mol
Al-Zr(Al2Zr),-,<1918, Mixing Enthalpy,-39.82,kJ/mol
Al-Zr(Al3Zr2),-,<1868, Mixing Enthalpy,-42.57,kJ/mol
Al-Zr(AlZr),-,<1548, Mixing Enthalpy,-43.7,kJ/mol
Al-Zr(Al2Zr3),-,<1758, Mixing Enthalpy,-41.38,kJ/mol
Al-Zr(AlZr2),-,<1523, Mixing Enthalpy,-37.97,kJ/mol
Al-Zr(AlZr3),-,<1261, Mixing Enthalpy,-31.7,kJ/mol
Al-Hf(Al3Hf),-,<1863, Mixing Enthalpy,-29.89,kJ/mol
Al-Hf(Al2Hf),-,<1923, Mixing Enthalpy,-35.0,kJ/mol
Al-Hf(Al3Hf2),-,<1913, Mixing Enthalpy,-37.46,kJ/mol
Al-Hf(AlHf),-,<2073, Mixing Enthalpy,-38.5,kJ/mol
Al-Hf(Al2Hf3),-,<1863, Mixing Enthalpy,-36.5,kJ/mol
Al-Hf(AlHf2),-,<1393, Mixing Enthalpy,-33.52,kJ/mol
Mo-Zr(Mo2Zr),-,<2153, Mixing Enthalpy,-5.67,kJ/mol
Cr-Nb(Cr2Nb),-,<2043, Mixing Enthalpy,-6.65,kJ/mol
Cr-Ta(Cr2Ta),-,<2293, Mixing Enthalpy,-6.17,kJ/mol
Cr-Ti(Cr2Ti),-,<1643, Mixing Enthalpy,-6.47,kJ/mol
Cr-Zr(Cr2Zr),-,<1946, Mixing Enthalpy,-11.3,kJ/mol
AlMo0.5NbTa0.5TiZr,-,-,Mixing Enthalpy,-17.0,kJmol-1
AlMo0.5NbTa0.5TiZr,-,-,Mixing Entropy,14.5,Jmol-1 K-1
AlMo0.5NbTa0.5TiZr,-,-,Temperature Metrics,1982,K
Al0.4Hf0.6NbTaTiZr,-,-,Mixing Enthalpy,-6.5,kJmol-1
Al0.4Hf0.6NbTaTiZr,-,-,Mixing Entropy,14.5,Jmol-1 K-1
Al0.4Hf0.6NbTaTiZr,-,-,Temperature Metrics,2397,K
CrMo0.5NbTa0.5TiZr,-,-,Mixing Enthalpy,-5.2,kJmol-1
CrMo0.5NbTa0.5TiZr,-,-,Mixing Entropy,14.5,Jmol-1 K-1
CrMo0.5NbTa0.5TiZr,-,-,Temperature Metrics,2418,K
HfNbTaTiZr,-,-,Mixing Enthalpy,2.7,kJmol-1
HfNbTaTiZr,-,-,Mixing Entropy,13.4,Jmol-1 K-1
HfNbTaTiZr,-,-,Temperature Metrics,2523,K
CrFe1.5MnNi0.5,-,0.5M H2SO4 solution,Corrosion Potential,-229,mVSHE
CrFe1.5MnNi0.5,-,0.5M H2SO4 solution,Corrosion Current Density,6.86x10-4,A/cm2
CrFe1.5MnNi0.5,-,0.5M H2SO4 solution,Critical Current Density for Passivation,1.26x10-2,A/cm2
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 solution,Corrosion Potential,-194,mVSHE
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 solution,Corrosion Current Density,2.39x10-3,A/cm2
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 solution,Critical Current Density for Passivation,2.36x10-2,A/cm2
Al0.5CrFe1.5MnNi0.5,-,0.5M H2SO4 solution,Corrosion Potential,-206,mVSHE
Al0.5CrFe1.5MnNi0.5,-,0.5M H2SO4 solution,Corrosion Current Density,5.08x10-3,A/cm2
Al0.5CrFe1.5MnNi0.5,-,0.5M H2SO4 solution,Critical Current Density for Passivation,5.54x10-2,A/cm2
304 stainless steel,-,0.5M H2SO4 solution,Corrosion Potential,-186,mVSHE
304 stainless steel,-,0.5M H2SO4 solution,Corrosion Current Density,7.45x10-5,A/cm2
304 stainless steel,-,0.5M H2SO4 solution,Critical Current Density for Passivation,8.19x10-4,A/cm2
CrFe1.5MnNi0.5,-,0.5M H2SO4,Corrosion Potential,-221,mVSHE
CrFe1.5MnNi0.5,-,0.5M H2SO4,Corrosion Current Density,6.86x10-4,A/cm2
CrFe1.5MnNi0.5,-,0.5M H2SO4,Pitting Potential,1172,mVSHE
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4,Corrosion Potential,-194,mVSHE
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4,Corrosion Current Density,2.39x10-3,A/cm2
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4,Pitting Potential,1164,mVSHE
CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.10M NaCl,Corrosion Potential,-242,mVSHE
CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.10M NaCl,Corrosion Current Density,2.06x10-3,A/cm2
CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.10M NaCl,Pitting Potential,1180,mVSHE
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.10M NaCl,Corrosion Potential,-219,mVSHE
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.10M NaCl,Corrosion Current Density,2.48x10-3,A/cm2
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.10M NaCl,Pitting Potential,1156,mVSHE
CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.25M NaCl,Corrosion Potential,-238,mVSHE
CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.25M NaCl,Corrosion Current Density,4.60x10-3,A/cm2
CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.25M NaCl,Pitting Potential,589,mVSHE
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.25M NaCl,Corrosion Potential,-231,mVSHE
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.25M NaCl,Corrosion Current Density,6.05x10-3,A/cm2
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.25M NaCl,Pitting Potential,250,mVSHE
CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.50M NaCl,Corrosion Potential,-240,mVSHE
CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.50M NaCl,Corrosion Current Density,9.75x10-3,A/cm2
CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.50M NaCl,Pitting Potential,475,mVSHE
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.50M NaCl,Corrosion Potential,-250,mVSHE
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.50M NaCl,Corrosion Current Density,1.04x10-2,A/cm2
Al0.3CrFe1.5MnNi0.5,-,0.5M H2SO4 +0.50M NaCl,Pitting Potential,257,mVSHE
Mo0,-,-,Elemental Composition,Co: 28.68; Cr: 16.87; Fe: 18.12; Ni: 28.56; Ti: 7.77; Mo: 0.0,wt%
Mo0.1,-,-,Elemental Composition,Co: 27.81; Cr: 16.36; Fe: 17.57; Ni: 27.7; Ti: 7.53; Mo: 3.02,wt%
Mo0.5,-,-,Elemental Composition,Co: 24.82; Cr: 14.6; Fe: 15.68; Ni: 24.72; Ti: 6.72; Mo: 13.47,wt%
Mo0.8,-,-,Elemental Composition,Co: 22.96; Cr: 13.51; Fe: 14.51; Ni: 22.87; Ti: 6.22; Mo: 19.94,wt%
Co1.5CrFeNi1.5Ti0.5Mo0,-,Interdendrite,Chemical Composition,Co: 26.7; Cr: 15.1; Fe: 15.3; Ni: 28.9; Ti: 14.0,at%
Co1.5CrFeNi1.5Ti0.5Mo0,-,Dendrite,Chemical Composition,Co: 27.6; Cr: 21.0; Fe: 19.8; Ni: 25.9; Ti: 5.7,at%
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,Dendrite,Chemical Composition,Co: 25.8; Cr: 13.3; Fe: 14.1; Ni: 29.5; Ti: 15.5; Mo: 1.8,at%
Co1.5CrFeNi1.5Ti0.5Mo0.1,-,Dendrite,Chemical Composition,Co: 26.6; Cr: 19.1; Fe: 18.3; Ni: 26.8; Ti: 7.3; Mo: 1.9,at%
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,Interdendrite,Chemical Composition,Co: 21.0; Cr: 20.5; Fe: 14.2; Ni: 13.0; Ti: 7.1; Mo: 24.2,at%
Co1.5CrFeNi1.5Ti0.5Mo0.5,-,Dendrite,Chemical Composition,Co: 24.0; Cr: 18.1; Fe: 16.9; Ni: 26.2; Ti: 7.5; Mo: 7.3,at%
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,Dendrite,Chemical Composition,Co: 20.6; Cr: 19.6; Fe: 15.2; Ni: 14.0; Ti: 4.3; Mo: 26.3,at%
Co1.5CrFeNi1.5Ti0.5Mo0.8,-,Dendrite,Chemical Composition,Co: 24.8; Cr: 15.5; Fe: 16.6; Ni: 28.2; Ti: 7.3; Mo: 7.6,at%
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 0.5M H2SO4,Corrosion Potential,-92,mVSHE
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 0.5M H2SO4,Corrosion Current Density,30,mA/cm2
Co1.5CrFeNi1.5Ti0.5Mo0,-,deaerated 0.5M H2SO4,Breakdown Potential,1089,mVSHE
